"Speaker","Start time","End time","Duration (in sec)","Utterance"
"Speaker 3","0:03","0:04","1.34384375","Also kann ich loslegen. "
"Speaker 2","0:07","1:23","76.17459374999999","Perfekt. Ähm Wir haben uns mit der der Word Cloud befasst. Also die Idee dass man quasi für gewisse zeitabschnitte im transkript eine Word Cloud darstellt. Und die haben wir mal 3 unterschiedlich aufwendige implementationen gemacht. Um auch ein bisschen ein Gefühl dafür zu bekommen das technisch umsetzen würde in diesem desch Framework. Und äh die erste Variante war so etwas. Das sind jetzt einfach die Wörter beziehungsweise die die nomen. In diesem transkript und Je größer sie geschrieben sind umso häufiger werden sie genannt. Mhm und das für unterschiedliche zeitintervalle. Diagramme dann einfach so durch klicken und sie dann die entsprechende Word Cloud für den jeweiligen Abschnitt. Okay das ist noch nicht super intuitiv aber es war mal unsere erste Ansatz um das zu implementieren dass man quasi durch so eine Friedens durchklicken kann. Und dann sieht welche Wörter wurden in diesem Abschnitt am häufigsten genannt. Ja Was. "
"Speaker 3","1:23","1:27","4.374968750000008","Ist die Skalierung da hat das Grundlage für das ist einfach nur. "
"Speaker 2","1:28","2:02","34.37774999999999","Diese würde man idealerweise raus blenden das haben wir in unserer letzten Version auch gemacht das sind im Prinzip nur die Koordinaten der Wörter. Okay also wo ein Wort ist halt keine Bedeutung ja okay im Moment ist das auch noch nicht so intelligent implementiert also die Koordinaten der Behörde sind zufallszahlen. In einem nächsten Schritt würde man alle Wörter mehr so. Nebeneinander platzieren mhm aber weil umso provisorisch sich anzuschauen wie dat aussieht er relativ simpel zu implementieren und die textbook. "
"Speaker 1","2:03","2:05","2.1346875000000125","Lang das noch einstellen kann. "
"Speaker 2","2:06","2:18","11.981249999999989","Genau hier könnte man jetzt zum Beispiel sorgen. 10 Minuten. Ja dann würde dies Karl hier neu berechnet und dann würde man ein 10 Minuten Fragen sehen genauso wie jetzt. "
"Speaker 3","2:21","2:22","0.6344687499999964","Okay. "
"Speaker 2","2:22","4:52","150.34653124999997","Das war doch etwas Flexibilität hat je nach unterschiedliche dialoglänge ja vielleicht etwas anders sind wir genau. Dann unser nächster Versuch war eine Animation zu machen. Mhm mhm mhm. Genau dass man quasi eine Playback hat welche dann die Friedens automatisch abspielt. Und hier beispielsweise das Wort people ist immer am gleichen Ort aber ihr größeres geschrieben ist umso häufiger wird es in diesem Abschnitt genannt beispielsweise hier ist es ziemlich groß dann wird es wieder kleiner. Wieder ein bisschen größer kleiner. So war sie das war mal eine Implementierung das ist in dieser Variante jetzt noch nicht so elegant weil es ziemlich viele Wörter sind die auch praktisch kaum genannt wurden das könnte man noch etwas eingrenzen und dann auch die Positionierung noch etwas aufhübschen. Mhm und was uns auch nicht so gefallen hat ist das. Die Übergänge nicht fließend sind also die textgröße ändert sich abrupt von Beispielsweise 24 auf 12 mhm und Dadurch kann man nicht so gut die erhalten genau. Aber sonst von der Performance her funktioniert das besser also ziemlich schnell und effizient zwischen den Frames switchen was hier noch etwas mehr Zeit benötigt. Und dann unsere letzte Implementierung war. Ähm wenn man quasi noch so Kreise. Mit den Wörtern ähm verbindet und jene die kaum genannt werden transparent macht und so hat man dann eine etwas einfließende Animation. So sieht man relativ schnell welche Wörter jetzt relevant sind. In einem gewissen textabschnitt. Genau beispielsweise hier China oder Jobs. Dann hier Joe beiden da könnte man diese Wörter wird man natürlich herausfiltern weil das die Namen der Teilnehmer sind. Aber Alles in allem gibt allein besseren Überblick als jetzt noch diese Version. Ja okay diese Kreise haben auch die also Möglichkeit dass sie sich quasi vergrößern und verkleinern und dann das sieht was man bei den Text nicht. Machen kann. "
"Speaker 3","4:55","4:57","1.5643124999999145","Warum kann ich mit dem Text nicht? "
"Speaker 2","5:00","5:25","24.696562499999914","Ähm das ist einfach keine einstellungsmöglichkeit die Kreise sind quasi Daten also ihre Kreise deine Größe und die verändert sich quasi von Größe. Von Durchmesser 20 auf Durchmesser 24 und das kann quasi. Animiert werden durch diesen Plot aber schriftgrößen können nicht animiert werden einfach schrittweise verändert. "
"Speaker 4","5:25","5:28","2.215593750000039","Der Text ist eigentlich nur eine Beschriftung. "
"Speaker 2","5:28","5:49","21.093968749999988","Des Daten okay genau während die Kreise quasi wirklich dort sind. Also diese Animationen ist auch nicht dafür gedacht zum beispielsweise irgendwelche Graphen zu animieren mhm und Wir haben das jetzt ein bisschen umfunktionierten quasi eine Word Cloud nachzubauen. Und einigermaßen flüssige Übergänge zu machen. "
"Speaker 3","5:50","5:59","8.107906250000042","Jetzt geht nochmal auf das erste die erste Visualisierung also ganz kurz war das alles was wir zeigen wolltet oder habt ihr noch. "
"Speaker 2","5:59","6:02","3.873468750000029","Mehr bevor ich jetzt anfange Nein das war der Schwerpunkt quasi. "
"Speaker 3","6:05","6:19","14.466906250000022","Aha spannend also ich finde erstmals funktioniert schon so ein bisschen also kann mir vorstellen dass das was wird auch wenn es noch nicht so weit is glaub ich das ist noch nicht so dass wir jetzt so sieht aber was läuft da eigentlich den. "
"Speaker 2","6:19","6:22","3.2097812500000487","Ganzen. Genau es ist noch in der anfangsphase. "
"Speaker 3","6:23","6:39","16.358406249999973","Ja. Bei der ersten Darstellung Gedacht wenn man wirklich so eine zweidimensionale Darstellung macht mhm dann könnte man dem ja auch eine Bedeutung geben. "
"Speaker 2","6:41","6:42","1.6950937500000691","Kraus eine räumliche Bedeutung. "
